ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,SalesOrderNumber,SalesAmount
349,20210105,20210105,20210105,676,285,SO43659,2024.994
350,20210105,20210105,20210105,676,285,SO43659,6074.982
351,20210105,20210105,20210105,676,285,SO43659,2024.994
344,20210105,20210105,20210105,676,285,SO43659,2039.994
345,20210105,20210105,20210105,676,285,SO43659,2039.994
346,20210105,20210105,20210105,676,285,SO43659,4079.988
347,20210105,20210105,20210105,676,285,SO43659,2039.994
229,20210105,20210105,20210105,676,285,SO43659,86.5212
235,20210105,20210105,20210105,676,285,SO43659,28.8404
218,20210105,20210105,20210105,676,285,SO43659,34.20
223,20210105,20210105,20210105,676,285,SO43659,10.373
220,20210105,20210105,20210105,676,285,SO43659,80.746
326,20210105,20210105,20210105,117,285,SO43660,419.4589
319,20210105,20210105,20210105,117,285,SO43660,874.794
300,20210105,20210105,20210105,442,288,SO43661,809.76
296,20210105,20210105,20210105,442,288,SO43661,714.7043
304,20210105,20210105,20210105,442,288,SO43661,1429.4086
223,20210105,20210105,20210105,442,288,SO43661,20.746
232,20210105,20210105,20210105,442,288,SO43661,115.3616
293,20210105,20210105,20210105,442,288,SO43661,1445.1898
348,20210105,20210105,20210105,442,288,SO43661,6074.982
351,20210105,20210105,20210105,442,288,SO43661,4049.988
220,20210105,20210105,20210105,442,288,SO43661,40.373
292,20210105,20210105,20210105,442,288,SO43661,1637.40
349,20210105,20210105,20210105,442,288,SO43661,8099.976
346,20210105,20210105,20210105,442,288,SO43661,4079.988
235,20210105,20210105,20210105,442,288,SO43661,57.6808
350,20210105,20210105,20210105,442,288,SO43661,4049.988
215,20210105,20210105,20210105,442,288,SO43661,100.9325
330,20210105,20210105,20210105,227,288,SO43662,1258.3767
342,20210105,20210105,20210105,227,288,SO43662,2097.2945
272,20210105,20210105,20210105,227,288,SO43662,367.8764
315,20210105,20210105,20210105,227,288,SO43662,3499.176
262,20210105,20210105,20210105,227,288,SO43662,551.8146
326,20210105,20210105,20210105,227,288,SO43662,2097.2945
332,20210105,20210105,20210105,227,288,SO43662,1258.3767
338,20210105,20210105,20210105,227,288,SO43662,838.9178
314,20210105,20210105,20210105,227,288,SO43662,2146.962
317,20210105,20210105,20210105,227,288,SO43662,874.794
328,20210105,20210105,20210105,227,288,SO43662,1258.3767
275,20210105,20210105,20210105,227,288,SO43662,356.898
